 ,AG_Cor,AG_BL,AG_ML,ED_Cor,ED_BL,ED_ML
AFINN,0.1675820097966454,0.16400085306035403,0.16715024599470166,0.2154696132596685,0.18604651162790697,0.21574519230769232
SENTICNET,0.7161941516995696,0.7135849861377692,0.7131323325343761,0.850828729281768,0.8546511627906976,0.8034855769230769
SENTIWORD,0.4265993765771115,0.42226487523992323,0.43244607039233,0.5041436464088398,0.5116279069767442,0.47896634615384615
