book_name,speaker_ac,explcit_prop,accuracy_ac,full_ac
AlicesAdventuresinWonderland,0.9296187683284457,0.8313782991202346,0.5922330097087378,0.5631067961165048
AnneOfGreenGables,0.8012924071082391,0.5258481421647819,0.7737819025522041,0.7296983758700696
Emma,0.7153846153846154,0.2653846153846154,0.5487404162102957,0.47426067907995617
NorthangerAbbey,0.5893719806763285,0.1932367149758454,0.4748603351955307,0.32122905027932963
Persuasion,0.7026022304832714,0.43866171003717475,0.5176470588235295,0.4196078431372549
PrideandPrejudice,0.6752655538694993,0.255690440060698,0.49933774834437084,0.37350993377483444
SenseandSensibility,0.7581395348837209,0.33674418604651163,0.6612426035502958,0.5532544378698225
TheAgeofInnocence,0.5976775956284153,0.21243169398907105,0.483974358974359,0.36324786324786323
TheAwakening,0.7389162561576355,0.25287356321839083,0.7383863080684596,0.6381418092909535
TheInvisibleMan,0.6674033149171271,0.4685082872928177,0.43498817966903075,0.3215130023640662
TheManWhoWasThursday,0.86625,0.6275,0.5498839907192575,0.531322505800464
ThePictureOfDorianGray,0.5491525423728814,0.22372881355932203,0.45663265306122447,0.2576530612244898
TheSignoftheFour,0.6310975609756098,0.13109756097560976,0.36046511627906974,0.27674418604651163
