,0,1,2,3,4
0,Book_Name,Model,Speaker,Addressee,Full
1,AlicesAdventuresinWonderland,ML,0.8812316715542522,0.4754901960784313,0.4656862745098039
2,AlicesAdventuresinWonderland,BL,0.9296187683284456,0.5922330097087378,0.5631067961165048
3,AnneOfGreenGables,ML,0.7883683360258481,0.7728674203494348,0.7132579650565262
4,AnneOfGreenGables,BL,0.8012924071082391,0.7737819025522041,0.7296983758700696
5,Emma,ML,0.573076923,0.5204872646733112,0.4064230343300111
6,Emma,BL,0.7153846153846154,0.5487404162102957,0.4742606790799561
7,NorthangerAbbey,ML,0.535024155,0.4011976047904191,0.3173652694610778
8,NorthangerAbbey,BL,0.5893719806763285,0.4748603351955307,0.3212290502793296
9,Persuasion,ML,0.6096654275092936,0.5374592833876222,0.4071661237785016
10,Persuasion,BL,0.7026022304832714,0.5176470588235295,0.4196078431372549
11,PrideandPrejudice,ML,0.5303490136570561,0.4138398914518317,0.2957937584803256
12,PrideandPrejudice,BL,0.6752655538694993,0.4993377483443708,0.3735099337748344
13,SenseandSensibility,ML,0.5404651162790698,0.5275229357798165,0.3287461773700306
14,SenseandSensibility,BL,0.7581395348837209,0.6612426035502958,0.5532544378698225
15,TheAgeofInnocence,ML,0.5239071038251366,0.2173076923076923,0.1615384615384615
16,TheAgeofInnocence,BL,0.5976775956284153,0.483974359,0.3632478632478632
17,TheAwakening,ML,0.6239737274220033,0.4990476190476191,0.4266666666666667
18,TheAwakening,BL,0.7389162561576355,0.7383863080684596,0.6381418092909535
19,TheInvisibleMan,ML,0.6740331491712708,0.301994302,0.2592592592592592
20,TheInvisibleMan,BL,0.6674033149171271,0.4349881796690307,0.3215130023640662
21,TheManWhoWasThursday,ML,0.6525,0.636986301,0.571917808
22,TheManWhoWasThursday,BL,0.86625,0.5498839907192575,0.531322506
23,ThePictureOfDorianGray,ML,0.43559322,0.2794486215538847,0.1240601503759398
24,ThePictureOfDorianGray,BL,0.5491525423728814,0.4566326530612244,0.2576530612244898
25,TheSignoftheFour,ML,0.5746951219512195,0.784452297,0.6501766784452296
26,TheSignoftheFour,BL,0.6310975609756098,0.3604651162790697,0.2767441860465116
27,Average,Baseline,0.7093978739065991,0.5455518216274127,0.44794534954631693
28,Average,ML,0.6109909973384944,0.48985395612338584,0.3944659713454624
